CITY_NAME	STATE_NAME
Bellingham	Washington
Havre	Montana
Anacortes	Washington
Mount Vernon	Washington
Oak Harbor	Washington
Minot	North Dakota
Kalispell	Montana
Williston	North Dakota
Port Angeles	Washington
North Marysville	Washington
Marysville	Washington
West Lake Stevens	Washington
Everett	Washington
Grand Forks	North Dakota
Paine Field-Lake Stickney	Washington
Silver Lake-Fircrest	Washington
Lake Serene-North Lynnwood	Washington
Martha Lake	Washington
Lynnwood	Washington
Edmonds	Washington
North Creek-Canyon Park	Washington
Alderwood Manor-Bothell North	Washington
Mountlake Terrace	Washington
Esperance	Washington
Bothell	Washington
Richmond Highlands	Washington
North City-Ridgecrest	Washington
Woodinville	Washington
Kingsgate	Washington
Inglewood-Finn Hill	Washington
Coeur d'Alene	Idaho
Kirkland	Washington
Redmond	Washington
Spokane	Washington
Opportunity	Washington
Sahalee	Washington
Seattle	Washington
Bellevue	Washington
Pine Lake	Washington
Mercer Island	Washington
Bremerton	Washington
Newport Hills	Washington
Great Falls	Montana
White Center-Shorewood	Washington
Riverton-Boulevard Park	Washington
Bryn Mawr-Skyway	Washington
East Renton Highlands	Washington
Bemidji	Minnesota
Renton	Washington
Tukwila	Washington
Burien	Washington
Cascade-Fairwood	Washington
Sea-Tac	Washington
East Wenatchee Bench	Washington
Wenatchee	Washington
Hibbing	Minnesota
Des Moines	Washington
Kent	Washington
East Hill-Meridian	Washington
Covington-Sawyer-Wilderness	Washington
Lakeland North	Washington
Federal Way	Washington
Auburn	Washington
Tacoma	Washington
University Place	Washington
Puyallup	Washington
Lakewood	Washington
South Hill	Washington
Parkland	Washington
Moses Lake	Washington
Spanaway	Washington
Fort Lewis	Washington
Elk Plain	Washington
Olympia	Washington
Lacey	Washington
Ellensburg	Washington
Aberdeen	Washington
Jamestown	North Dakota
Dickinson	North Dakota
Fargo	North Dakota
West Fargo	North Dakota
Missoula	Montana
Moorhead	Minnesota
Orchard Homes	Montana
Mandan	North Dakota
Bismarck	North Dakota
Duluth	Minnesota
Pullman	Washington
Moscow	Idaho
Cloquet	Minnesota
Centralia	Washington
Superior	Wisconsin
Presque Isle	Maine
Helena	Montana
Yakima	Washington
Marquette	Michigan
Sault Ste. Marie	Michigan
Lewiston	Idaho
Brainerd	Minnesota
Sunnyside	Washington
Richland	Washington
Fergus Falls	Minnesota
Pasco	Washington
Kennewick	Washington
Astoria	Oregon
Longview	Washington
Kelso	Washington
Walla Walla	Washington
Anaconda-Deer Lodge County	Montana
Butte-Silver Bow	Montana
Hermiston	Oregon
Billings	Montana
Escanaba	Michigan
Salmon Creek	Washington
Bozeman	Montana
Pendleton	Oregon
Orchards South	Washington
Vancouver	Washington
Evergreen	Washington
City of the Dalles	Oregon
St. Cloud	Minnesota
Portland	Oregon
Hillsboro	Oregon
Forest Grove	Oregon
Hazelwood	Oregon
Gresham	Oregon
Powellhurst-Centennial	Oregon
Aloha	Oregon
Beaverton	Oregon
Aberdeen	South Dakota
Milwaukie	Oregon
Tigard	Oregon
Oatfield	Oregon
Oak Grove	Oregon
Lake Oswego	Oregon
Gladstone	Oregon
Tualatin	Oregon
West Linn	Oregon
Oregon City	Oregon
Elk River	Minnesota
La Grande	Oregon
Newberg	Oregon
Ramsey	Minnesota
Andover	Minnesota
McMinnville	Oregon
Anoka	Minnesota
Coon Rapids	Minnesota
Blaine	Minnesota
Champlin	Minnesota
Woodburn	Oregon
Willmar	Minnesota
Brooklyn Park	Minnesota
Mounds View	Minnesota
Maple Grove	Minnesota
Marinette	Wisconsin
Fridley	Minnesota
Shoreview	Minnesota
