ALABAMA, AL
ALASKA, AK
ARIZONA, AZ
ARKANSAS, AR
CALIFORNIA, CA
COLORADO, CO
CONNECTICUT, CT
DELAWARE, DE
DIST OF COLUMBIA, DE
FLORIDA, FL
GEORGIA, GA
HAWAII, HI
IDAHO, ID
ILLINOIS, IL
INDIANA, IN
IOWA, IA
KANSAS, KS
KENTUCKY, KY
LOUISIANA, LA
MAINE, ME
MARYLAND, MD
MASSACHUSETTS, MA
MICHIGAN, MI
MINNESOTA, MN
MISSISSIPPI, MS
MISSOURI, MO
MONTANA, MT
NEBRASKA, NE
NEVADA, NV
NEW HAMPSHIRE, NH
NEW JERSEY, NJ
NEW MEXICO,  NM
NEW YORK, NY
NORTH CAROLINA, NC
NORTH DAKOTA, ND
OHIO, OH
OKLAHOMA, OK
OREGON, OR
PENNSYLVANIA, PA
RHODE ISLAND, RI
SOUTH CAROLINA, SC
SOUTH DAKOTA, SD
TENNESSEE, TN
TEXAS, TX
UTAH, UT
VERMONT, VT
VIRGINIA, VA
WASHINGTON, WA 
WEST VIRGINIA, WV
WISCONSIN, WI
WYOMING, WY
AMERICAN  SAMOA, AS
NORTHERN MARIANA ISLANDS, MP
FEDERATED STATES of MICRONESIA, FM
Palau, PW
GUAM, GU
Puerto Rico, PR
MARSHALL ISLANDS, MH
VIRGIN ISLANDS, VI

#Canada
ALBERTA, AB
NOVA SCOTIA, NS
BRITISH COLUMBIA, BC
ONTARIO, ON
MANITOBA, MB
PRINCE EDWARD ISLAND, PE
NEW BRUNSWICK, NB
QUEBEC, QC
NEWFOUNDLAND & LABRADOR, NF
SASKATCHEWAN, SK
NORTHWEST TERRITORIES, NT
YUKON TERRITORY, YK
